Ano;Mês;Código.IBGE.Município;Município;Densidade
2019;1;4106001;Congonhinhas;65,28426569
2019;3;4106001;Congonhinhas;63,55246667
2020;11;4106001;Congonhinhas;47,16043807
2023;7;4106001;Congonhinhas;58,24519231
2020;3;4106001;Congonhinhas;53,65162168
2022;7;4106001;Congonhinhas;65,49278846
2019;11;4106001;Congonhinhas;53,50419596
2022;12;4106001;Congonhinhas;58,01682692
2021;7;4106001;Congonhinhas;51,47257194
2020;7;4106001;Congonhinhas;49,09111437
2019;12;4106001;Congonhinhas;53,71966432
2022;10;4106001;Congonhinhas;64,39903846
2019;8;4106001;Congonhinhas;63,15491041
2024;10;4106001;Congonhinhas;64,96090974
2022;8;4106001;Congonhinhas;63,01682692
2023;4;4106001;Congonhinhas;57,47596154
2021;1;4106001;Congonhinhas;48,43626510
2024;2;4106001;Congonhinhas;62,31971154
2019;4;4106001;Congonhinhas;63,95123619
2024;3;4106001;Congonhinhas;63,02884615
2020;2;4106001;Congonhinhas;53,67430256
2022;11;4106001;Congonhinhas;63,37740385
2020;10;4106001;Congonhinhas;47,02495202
2023;2;4106001;Congonhinhas;58,00480769
2022;3;4106001;Congonhinhas;56,20503597
2023;12;4106001;Congonhinhas;61,77884615
2022;6;4106001;Congonhinhas;60,39793165
2021;11;4106001;Congonhinhas;52,33812950
2022;4;4106001;Congonhinhas;57,68884892
2019;7;4106001;Congonhinhas;63,65388977
2021;4;4106001;Congonhinhas;37,96996726
2023;11;4106001;Congonhinhas;60,16826923
2022;9;4106001;Congonhinhas;63,34134615
2019;10;4106001;Congonhinhas;53,20934452
2020;1;4106001;Congonhinhas;53,64028124
2021;6;4106001;Congonhinhas;36,23122954
2024;8;4106100;Conselheiro Mairinck;123,29317270
2021;12;4106100;Conselheiro Mairinck;81,29015677
2021;10;4106100;Conselheiro Mairinck;68,56849139
2019;12;4106100;Conselheiro Mairinck;61,99481865
2019;4;4106100;Conselheiro Mairinck;66,90085870
2020;1;4106100;Conselheiro Mairinck;62,09844560
2022;7;4106100;Conselheiro Mairinck;93,32562843
2024;6;4106100;Conselheiro Mairinck;135,30771450
2023;1;4106100;Conselheiro Mairinck;96,96619474
2023;4;4106100;Conselheiro Mairinck;96,82172782
2023;8;4106100;Conselheiro Mairinck;96,93730136
2024;1;4106100;Conselheiro Mairinck;102,34036410
2019;1;4106100;Conselheiro Mairinck;67,99375488
2024;10;4106100;Conselheiro Mairinck;152,03671830
2024;4;4106100;Conselheiro Mairinck;109,13030920
2021;7;4106100;Conselheiro Mairinck;82,18966847
2022;12;4106100;Conselheiro Mairinck;95,81045940
2021;8;4106100;Conselheiro Mairinck;81,70136212
2023;2;4106100;Conselheiro Mairinck;96,87951459
2022;8;4106100;Conselheiro Mairinck;93,99017625
2023;3;4106100;Conselheiro Mairinck;97,45738226
2023;7;4106100;Conselheiro Mairinck;97,57295579
2020;8;4106100;Conselheiro Mairinck;57,66253870
2019;7;4106100;Conselheiro Mairinck;66,21761658
2020;12;4106100;Conselheiro Mairinck;57,86893705
2019;8;4106100;Conselheiro Mairinck;64,89637306
2020;6;4106100;Conselheiro Mairinck;58,83419689
2023;5;4106100;Conselheiro Mairinck;97,37070211
2022;10;4106100;Conselheiro Mairinck;93,06558798
2020;2;4106100;Conselheiro Mairinck;61,94300518
2021;5;4106100;Conselheiro Mairinck;82,04334365
2021;2;4106100;Conselheiro Mairinck;81,32094943
2019;5;4106100;Conselheiro Mairinck;66,77075202
2022;1;4106100;Conselheiro Mairinck;80,87895143
2022;2;4106100;Conselheiro Mairinck;78,38601902
2020;5;4106100;Conselheiro Mairinck;60,12953368
2019;9;4106100;Conselheiro Mairinck;64,94818653
2024;5;4106100;Conselheiro Mairinck;119,67639410
2023;12;4106100;Conselheiro Mairinck;100,92458830
2019;11;4106100;Conselheiro Mairinck;65,20725389
2020;4;4106100;Conselheiro Mairinck;60,38860104
2021;4;4106100;Conselheiro Mairinck;84,10732714
2019;3;4106100;Conselheiro Mairinck;66,66666667
2020;10;4106100;Conselheiro Mairinck;57,92053664
2019;10;4106100;Conselheiro Mairinck;65,62176166
2024;11;4106100;Conselheiro Mairinck;151,49168100
2022;3;4106100;Conselheiro Mairinck;78,92572603
2023;9;4106100;Conselheiro Mairinck;99,27766541
2020;3;4106100;Conselheiro Mairinck;61,39896373
2024;3;4106100;Conselheiro Mairinck;104,59404800
2020;9;4106100;Conselheiro Mairinck;57,50773994
2024;7;4106100;Conselheiro Mairinck;129,54675850
2023;10;4106100;Conselheiro Mairinck;99,73995955
